text,num_lessons,first_lesson,last_lesson,span,coverage,total_count,intervals,pattern_type,decay_trend,lessons
Au revoir.,4,2,5,4,1.0,16,"[1, 1, 1]",persistent_scaffolding,variable,"[2, 3, 4, 5]"
"Au revoir, Monsieur.",4,2,24,23,0.17,6,"[1, 2, 19]",expanding_intervals,decaying,"[2, 3, 5, 24]"
"Pardon, Madame.",4,2,21,20,0.2,6,"[7, 5, 7]",intermediate,decaying,"[2, 9, 14, 21]"
Pas très bien.,4,2,26,25,0.16,15,"[1, 1, 22]",expanding_intervals,variable,"[2, 3, 4, 26]"
Je suis américain.,4,3,24,22,0.18,12,"[1, 10, 10]",expanding_intervals,decaying,"[3, 4, 14, 24]"
Et vous?,4,3,30,28,0.14,9,"[1, 1, 25]",expanding_intervals,variable,"[3, 4, 5, 30]"
S'il vous plaît.,4,3,6,4,1.0,11,"[1, 1, 1]",persistent_scaffolding,variable,"[3, 4, 5, 6]"
Où est la rue Saint-Jacques?,4,4,9,6,0.67,9,"[1, 1, 3]",expanding_intervals,variable,"[4, 5, 6, 9]"
C'est là-bas.,4,4,7,4,1.0,14,"[1, 1, 1]",persistent_scaffolding,variable,"[4, 5, 6, 7]"
Je voudrais.,4,5,8,4,1.0,11,"[1, 1, 1]",persistent_scaffolding,variable,"[5, 6, 7, 8]"
Voudrais.,4,5,8,4,1.0,6,"[1, 1, 1]",persistent_scaffolding,growing,"[5, 6, 7, 8]"
Je voudrais manger quelque chose.,4,5,10,6,0.67,11,"[1, 1, 3]",expanding_intervals,decaying,"[5, 6, 7, 10]"
"Non, merci.",4,5,8,4,1.0,13,"[1, 1, 1]",persistent_scaffolding,variable,"[5, 6, 7, 8]"
Moi aussi.,4,6,27,22,0.18,15,"[1, 1, 19]",expanding_intervals,decaying,"[6, 7, 8, 27]"
"Oui, je veux bien.",4,6,16,11,0.36,10,"[1, 3, 6]",expanding_intervals,decaying,"[6, 7, 10, 16]"
Deux.,4,8,26,19,0.21,12,"[1, 1, 16]",expanding_intervals,variable,"[8, 9, 10, 26]"
Qu'est-ce que vous voulez faire?,4,8,11,4,1.0,7,"[1, 1, 1]",persistent_scaffolding,decaying,"[8, 9, 10, 11]"
Je voudrais acheter quelque chose.,4,8,14,7,0.57,8,"[1, 1, 4]",expanding_intervals,decaying,"[8, 9, 10, 14]"
Qu'est-ce que vous voudriez acheter?,4,8,26,19,0.21,6,"[1, 16, 1]",intermediate,decaying,"[8, 9, 25, 26]"
À huit heures?,4,9,12,4,1.0,7,"[1, 1, 1]",persistent_scaffolding,decaying,"[9, 10, 11, 12]"
Quelle heure est-il?,4,10,25,16,0.25,9,"[1, 2, 12]",expanding_intervals,variable,"[10, 11, 13, 25]"
